rank,title,studio,lifetime_gross,year
1,starwarstheforceawakens,BV,936662225,2015
2,avatar,Fox,760507625,2009
3,blackpanther,BV,700059566,2018
4,avengersinfinitywar,BV,678681680,2018
5,titanic,Par.,659363944,1997
6,jurassicworld,Uni.,652270625,2015
7,marvelstheavengers,BV,623357910,2012
8,starwarsthelastjedi,BV,620181382,2017
9,incredibles,BV,597066966,2018
10,thedarkknight,WB,534858444,2008
11,rogueoneastarwarsstory,BV,532177324,2016
12,beautyandthebeast,BV,504014165,2017
13,findingdory,BV,486295561,2016
14,starwarsepisodeithephantommenace,Fox,474544677,1999
15,starwars,Fox,460998007,1977
16,avengersageofultron,BV,459005868,2015
17,thedarkknightrises,WB,448139099,2012
18,shrek,DW,441226247,2004
19,ettheextraterrestrial,Uni.,435110554,1982
20,thehungergamescatchingfire,LGF,424668047,2013
21,piratesofthecaribbeandeadmanschest,BV,423315812,2006
22,thelionking,BV,422783777,1994
23,toystory,BV,415004880,2010
24,jurassicworldfallenkingdom,Uni.,413025695,2018
25,wonderwoman,WB,412563408,2017
26,ironman,BV,409013994,2013
27,captainamericacivilwar,BV,408084349,2016
28,thehungergames,LGF,408010692,2012
29,jumanjiwelcometothejungle,Sony,404515480,2017
30,spiderman,Sony,403706375,2002
31,jurassicpark,Uni.,402453882,1993
32,transformersrevengeofthefallen,P/DW,402111870,2009
33,frozen,BV,400738009,2013
34,guardiansofthegalaxyvol,BV,389813101,2017
35,harrypotterandthedeathlyhallowspart,WB,381011219,2011
36,findingnemo,BV,380843261,2003
37,starwarsepisodeiiirevengeofthesith,Fox,380270577,2005
38,thelordoftheringsthereturnoftheking,NL,377845905,2003
39,spiderman,Sony,373585825,2004
40,thepassionofthechrist,NM,370782930,2004
41,thesecretlifeofpets,Uni.,368384330,2016
42,despicableme,Uni.,368061265,2013
43,thejunglebook,BV,364001123,2016
44,deadpool,Fox,363070709,2016
45,insideout,BV,356461711,2015
46,furious,Uni.,353007020,2015
47,transformersdarkofthemoon,P/DW,352390543,2011
48,americansniper,WB,350126372,2014
49,thelordoftheringsthetwotowers,NL,342551365,2002
50,zootopia,BV,341268248,2016
51,thehungergamesmockingjaypart,LGF,337135885,2014
52,spiderman,Sony,336530303,2007
53,minions,Uni.,336045770,2015
54,spidermanhomecoming,Sony,334201140,2017
55,aliceinwonderland,BV,334191110,2010
56,guardiansofthegalaxy,BV,333176600,2014
57,batmanvsupermandawnofjustice,WB,330360194,2016
58,forrestgump,Par.,330252182,1994
59,it,WB (NL),327481748,2017
60,suicidesquad,WB,325100054,2016
61,shrekthethird,P/DW,322719944,2007
62,transformers,P/DW,319246193,2007
63,ironman,Par.,318412101,2008
64,deadpool,Fox,318365417,2018
65,harrypotterandthesorcerersstone,WB,317575550,2001
66,indianajonesandthekingdomofthecrystalskull,Par.,317101119,2008
67,thelordoftheringsthefellowshipofthering,NL,315544750,2001
68,thorragnarok,BV,315058289,2017
69,ironman,Par.,312433331,2010
70,starwarsepisodeiiattackoftheclones,Fox,310676740,2002
71,piratesofthecaribbeanatworldsend,BV,309420425,2007
72,returnofthejedi,Fox,309306177,1983
73,independenceday,Fox,306169268,1996
74,piratesofthecaribbeanthecurseoftheblackpearl,BV,305413918,2003
75,skyfall,Sony,304360277,2012
76,thehobbitanunexpectedjourney,WB (NL),303003568,2012
77,harrypotterandthehalfbloodprince,WB,301959197,2009
78,thetwilightsagaeclipse,Sum.,300531751,2010
79,thetwilightsaganewmoon,Sum.,296623634,2009
80,harrypotterandthedeathlyhallowspart,WB,295983305,2010
81,thesixthsense,BV,293506292,1999
82,up,BV,293004164,2009
83,inception,WB,292576195,2010
84,thetwilightsagabreakingdawnpart,LG/S,292324737,2012
85,harrypotterandtheorderofthephoenix,WB,292004738,2007
86,thechroniclesofnarniathelionthewitchandthewardrobe,BV,291710957,2005
87,manofsteel,WB,291045518,2013
88,theempirestrikesback,Fox,290475067,1980
89,harrypotterandthegobletoffire,WB,290013036,2005
90,monstersinc,BV,289916256,2001
91,homealone,Fox,285761243,1990
92,thehungergamesmockingjaypart,LGF,281723902,2015
93,thematrixreloaded,WB,281576461,2003
94,thetwilightsagabreakingdawnpart,Sum.,281287133,2011
95,meetthefockers,Uni.,279261160,2004
96,thehangover,WB,277322503,2009
97,gravity,WB,274092705,2013
98,sing,Uni.,270395425,2016
99,monstersuniversity,BV,268492764,2013
100,shrek,DW,267665011,2001
101,despicableme,Uni.,264624300,2017
102,theamazingspiderman,Sony,262030663,2012
103,harrypotterandthechamberofsecrets,WB,261988482,2002
104,theincredibles,BV,261441092,2004
105,howthegrinchstolechristmas,Uni.,260044825,2000
106,jaws,Uni.,260000000,1975
107,captainamericathewintersoldier,BV,259766572,2014
108,thehobbitthedesolationofsmaug,WB (NL),258366855,2013
109,thelegomovie,WB,257760692,2014
110,startrek,Par.,257730019,2009
111,iamlegend,WB,256393010,2007
112,theblindside,WB,255959475,2009
113,thehobbitthebattleofthefivearmies,WB (NL),255119788,2014
114,thehangoverpartii,WB,254464305,2011
115,despicableme,Uni.,251513985,2010
116,batman,WB,251188924,1989
117,nightatthemuseum,Fox,250863268,2006
118,meninblack,Sony,250690539,1997
119,harrypotterandtheprisonerofazkaban,WB,249541069,2004
120,moana,BV,248757044,2016
121,raidersofthelostark,Par.,248159971,1981
122,toystory,BV,245852179,1999
123,transformersageofextinction,Par.,245439076,2014
124,cars,BV,244082982,2006
125,brucealmighty,Uni.,242829261,2003
126,ghostbusters,Col.,242212467,1984
127,twister,WB,241721524,1996
128,mybigfatgreekwedding,IFC,241438208,2002
129,maleficent,BV,241410378,2014
130,piratesofthecaribbeanonstrangertides,BV,241071802,2011
131,shrekforeverafter,P/DW,238736787,2010
132,fastfurious,Uni.,238679850,2013
133,brave,BV,237283207,2012
134,ozthegreatandpowerful,BV,234911825,2013
135,beverlyhillscop,Par.,234760478,1984
136,xmenthelaststand,Fox,234362462,2006
137,waroftheworlds,Par.,234280354,2005
138,fantasticbeastsandwheretofindthem,WB,234037575,2016
139,xmendaysoffuturepast,Fox,233921534,2014
140,castaway,Fox,233632142,2000
141,theexorcist,WB,232906145,1973
142,doctorstrange,BV,232641920,2016
143,thelostworldjurassicpark,Uni.,229086679,1997
144,justiceleague,WB,229024295,2017
145,startrekintodarkness,Par.,228778661,2013
146,themartian,Fox,228433663,2015
147,signs,BV,227966634,2002
148,hancock,Sony,227946274,2008
149,thebourneultimatum,Uni.,227471070,2007
150,logan,Fox,226277068,2017
151,rushhour,NL,226164286,2001
152,thefateofthefurious,Uni.,226008385,2017
153,walle,BV,223808164,2008
154,bighero,BV,222527828,2014
155,nationaltreasurebookofsecrets,BV,219964115,2007
156,alvinandthechipmunksthesqueakquel,Fox,219614612,2009
157,mrsdoubtfire,Fox,219195243,1993
158,beautyandthebeast,BV,218967620,1991
159,ted,Uni.,218815487,2012
160,kingkong,Uni.,218080025,2005
161,ghost,Par.,217631306,1990
162,howtotrainyourdragon,P/DW,217581231,2010
163,thedavincicode,Sony,217536138,2006
164,aladdin,BV,217350219,1992
165,alvinandthechipmunks,Fox,217326974,2007
166,savingprivateryan,DW,216540909,1998
167,madagascareuropesmostwanted,P/DW,216391482,2012
168,kungfupanda,P/DW,215434591,2008
169,missionimpossibleii,Par.,215409889,2000
170,xxmenunited,Fox,214949694,2003
171,drseussthelorax,Uni.,214030500,2012
172,soloastarwarsstory,BV,213588649,2018
173,austinpowersingoldmember,NL,213307889,2002
174,antmanandthewasp,BV,211470699,2018
175,,WB,210614939,2007
176,backtothefuture,Uni.,210609762,1985
177,fastfive,Uni.,209837675,2011
178,coco,BV,209726015,2017
